Epoch,Train_G_Loss,Train_D_Loss,Test_G_Loss,Test_D_Loss
1,4.8470,1.7510,1.5370,1.3704
2,1.7857,1.3270,0.9219,1.3876
3,1.6826,1.2762,1.0770,1.3121
4,1.7009,1.2487,1.2513,1.1076
5,1.9387,1.1058,0.8913,1.2926
6,2.2800,0.9817,1.3481,0.9478
7,2.4529,0.9254,1.1256,1.0415
8,2.6241,0.8350,1.4299,1.1386
9,2.6738,0.8410,1.6710,0.8563
10,2.7068,0.8513,1.6027,0.9333
11,2.7905,0.7881,1.5765,0.9199
12,2.7651,0.8041,1.9273,0.8536
13,2.8757,0.7710,2.0331,0.9815
14,2.8487,0.7963,1.5006,1.0227
15,2.9330,0.7594,2.1571,0.8032
16,2.9501,0.7269,1.8987,0.8686
17,3.1284,0.6974,2.6671,1.3136
18,3.1007,0.6961,1.9441,0.8816
19,3.0643,0.7064,2.2783,0.9208
20,2.9764,0.7494,1.7189,0.9220
